nim,prodi,predikat,tanggal_lulus,tgl_masuk,status_masuk,jenis_kelamin,tahun_lahir,status_pegawai
15416226201001,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201002,26201,Pujian,2019-08-31,2015-09-06,0,0,1996,1
15416226201003,26201,Pujian,2019-08-31,2015-09-06,0,1,1984,1
15416226201004,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201005,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201006,26201,Pujian,2019-08-28,2015-09-06,0,1,1995,1
15416226201007,26201,Pujian,2019-08-28,2015-09-06,0,1,1982,1
15416226201008,26201,Pujian,2019-08-30,2015-09-06,0,1,1990,1
15416226201009,26201,Sangat Memuaskan,2022-08-31,2015-09-06,0,1,1988,1
15416226201010,26201,Pujian,2019-08-31,2015-09-06,0,1,1995,0
15416226201013,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201014,26201,Pujian,2019-08-28,2015-09-06,0,1,1995,0
15416226201015,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201016,26201,Sangat Memuaskan,2021-01-29,2015-09-06,0,1,1996,0
15416226201018,26201,Pujian,2019-08-30,2015-09-06,0,1,1995,1
15416226201019,26201,Pujian,2019-08-31,2015-09-06,0,1,1987,1
15416226201020,26201,Pujian,2019-08-30,2015-09-06,0,1,1996,1
15416226201022,26201,Pujian,2019-08-31,2015-09-06,0,0,1995,1
15416226201024,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201027,26201,Pujian,2019-08-31,2015-09-06,0,1,1989,1
15416226201028,26201,Pujian,2019-08-30,2015-09-06,0,1,1993,1
15416226201030,26201,Pujian,2019-08-31,2015-09-06,0,1,1991,0
15416226201031,26201,Pujian,2019-08-28,2015-09-06,0,1,1996,0
15416226201032,26201,Pujian,2019-08-31,2015-09-06,0,0,1996,1
15416226201033,26201,Pujian,2019-08-28,2015-09-06,0,1,1993,1
15416226201034,26201,Pujian,2019-08-28,2015-09-06,0,1,1997,0
15416226201036,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,1
15416226201037,26201,Pujian,2019-08-28,2015-09-06,0,1,1994,1
15416226201040,26201,Sangat Memuaskan,2022-08-31,2015-09-06,0,1,1995,1
15416226201044,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201045,26201,Pujian,2019-08-31,2015-09-06,0,1,1995,1
15416226201047,26201,Sangat Memuaskan,2022-08-31,2015-09-06,0,1,1995,0
15416226201048,26201,Pujian,2019-08-30,2015-09-06,0,1,1993,1
15416226201050,26201,Pujian,2019-08-31,2015-09-06,0,1,1995,0
15416226201056,26201,Pujian,2019-08-28,2015-09-06,0,1,1980,1
15416226201057,26201,Pujian,2019-08-31,2015-09-06,0,1,1989,1
15416226201060,26201,Sangat Memuaskan,2022-08-31,2015-09-06,0,1,1992,1
15416226201061,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,1
15416226201062,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201063,26201,Pujian,2019-08-31,2015-09-06,0,1,1990,1
15416226201067,26201,Pujian,2019-08-31,2015-09-06,0,1,1991,1
15416226201068,26201,Pujian,2019-08-31,2015-09-06,0,1,1990,1
15416226201074,26201,Pujian,2019-08-30,2015-09-06,0,1,1995,1
15416226201075,26201,Pujian,2019-08-28,2015-09-06,0,1,1976,1
15416226201077,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201078,26201,Pujian,2019-08-31,2015-09-06,0,1,1997,1
15416226201080,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201086,26201,Pujian,2019-08-31,2015-09-06,0,1,1995,1
15416226201091,26201,Pujian,2019-08-28,2015-09-06,0,1,1993,1
15416226201095,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201099,26201,Pujian,2019-08-28,2015-09-06,0,0,1995,1
15416226201102,26201,Pujian,2019-08-28,2015-09-06,0,1,1996,1
15416226201104,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201105,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201109,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,0
15416226201111,26201,Pujian,2019-08-31,2015-09-06,0,0,1996,1
15416226201112,26201,Pujian,2019-08-28,2015-09-06,0,0,1996,1
15416226201113,26201,Pujian,2019-08-31,2015-09-06,0,1,1995,1
15416226201116,26201,Pujian,2019-08-31,2015-09-06,0,1,1991,0
15416226201121,26201,Pujian,2019-08-31,2015-09-06,0,1,1997,1
15416226201124,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,1
15416226201125,26201,Pujian,2019-08-30,2015-09-06,0,1,1997,0
15416226201126,26201,Pujian,2019-08-28,2015-09-06,0,1,1995,1
15416226201127,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,1
15416226201128,26201,Pujian,2019-08-31,2015-09-06,0,1,1997,0
15416226201129,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,0
15416226201130,26201,Pujian,2019-08-31,2015-09-06,0,1,1995,1
15416226201131,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,1
15416226201133,26201,Pujian,2019-08-31,2015-09-06,0,1,1994,1
15416226201134,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,1
15416226201135,26201,Pujian,2019-08-31,2015-09-06,0,1,1993,1
15416226201136,26201,Pujian,2019-08-28,2015-09-06,0,0,1995,1
15416226201138,26201,Pujian,2019-08-31,2015-09-06,0,1,1996,0
15416226201139,26201,Pujian,2019-08-31,2015-09-06,0,1,1992,1
15416226201141,26201,Pujian,2019-08-31,2015-09-06,0,1,1997,0
15416226201142,26201,Pujian,2019-08-30,2015-09-06,0,1,1996,1
15416226201143,26201,Pujian,2019-08-30,2015-09-06,0,1,1996,1
15416226201145,26201,Sangat Memuaskan,2022-07-07,2015-09-06,0,1,1996,1
15416226201148,26201,Sangat Memuaskan,2021-08-31,2015-09-06,0,1,1994,1
15416226201153,26201,Pujian,2019-08-31,2015-09-06,0,1,1991,1
15416226201155,26201,Pujian,2019-08-31,2015-09-06,0,0,1996,1
15416226201158,26201,Pujian,2019-08-30,2015-09-06,0,1,1993,1
15416226201159,26201,Memuaskan,2022-08-31,2015-09-06,0,1,1996,1
15416226201163,26201,Pujian,2019-08-31,2015-09-06,0,1,1987,1
